"","Simulation","Round","Agent","Choice","Reward","Expectation1","Expectation2","Expectation3","Project1_Tasks","Project2_Tasks","Project3_Tasks","Project1_Rewards","Project2_Rewards","Project3_Rewards","Project1_Work","Project2_Work","Project3_Work","alpha","beta","nAgents","nProjects","nTasks","nRounds"
"100",1,6,10,1,1,0.947603504198885,0.861450479803163,0.90149930968208,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"101",1,6,11,2,1,0.899122674790019,0.971541232603664,0.642784833209589,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"102",1,6,12,2,1,0.925191501169605,0.948348897002851,0.786927298177034,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"103",1,6,13,1,1,0.946973503054285,0.51231989757934,0.878907001334876,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"104",1,6,14,3,0.916316223196156,0.833071763520989,0.914776544043096,0.952494636168905,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"105",1,6,15,2,1,0.766070471125609,0.96463007281232,0.898929455588814,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"106",1,6,16,3,0.916316223196156,0.883754481248191,0.931412972143957,0.91429786922334,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"107",1,6,17,3,0.916316223196156,0.812453967464181,0.725262953977411,0.955040853206793,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"108",1,6,18,3,0.916316223196156,0.310712668811902,0.861344240021271,0.955592761250938,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"109",1,7,1,3,1,0.351739175617695,0.885294135629212,0.974422946059543,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"110",1,7,2,3,1,0.882485911763001,0.703466048336968,0.972499668569972,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"111",1,7,3,1,1,0.972775977741529,0.711410777507986,0.906921516398859,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"112",1,7,4,1,1,0.966387673726481,0.902850386315256,0.263727635145187,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"113",1,7,5,2,0.916316223196156,0.935853833585289,0.933440808619421,0.696319607784972,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"114",1,7,6,2,0.916316223196156,0.768985561062513,0.943607267974366,0.118368917144835,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"115",1,7,7,2,0.916316223196156,0.912078807622903,0.939512136766788,0.10058200894855,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"116",1,7,8,1,1,0.972666369980269,0.875819320843556,0.90620251497263,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"117",1,7,9,3,1,0.974210966591444,0.317014764994383,0.978879238132313,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"118",1,7,10,1,1,0.973801752099443,0.877910202821061,0.931049516777456,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"119",1,7,11,2,0.916316223196156,0.929385872353013,0.94392872789991,0.642784833209589,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"120",1,7,12,2,0.916316223196156,0.947634050818724,0.932332560099504,0.786927298177034,257,256,261,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
